trip_id,rider_rating_for_driver,driver_rating_for_rider
219,3.3,4.5
221,3.4,4.3
222,4.2,4.5
223,3.4,4.0
224,4.2,4.2
225,4.5,3.8
226,4.7,4.7
228,4.7,3.8
230,3.4,4.4
231,3.6,4.5
232,3.4,4.4
233,4.4,4.0
234,4.4,4.9
235,3.0,4.9
236,3.3,4.7
237,3.7,4.7
238,3.4,4.2
239,4.1,3.8
240,3.1,3.5
244,4.7,4.8
245,3.9,4.6
247,4.2,4.0
251,4.2,4.1
252,3.9,3.8
254,4.1,4.4
255,3.2,4.1
256,3.8,4.1
258,4.4,4.1
259,3.7,4.5
260,3.5,4.7
261,4.1,3.9
263,4.0,3.8
264,4.1,4.1
266,4.9,4.3
267,3.3,4.4
268,4.2,3.8
269,3.1,4.6
270,4.3,3.7
275,3.4,4.5
276,4.6,4.5
277,3.5,3.6
278,3.8,3.5
279,4.0,3.8
280,4.2,4.6
282,3.6,4.0
283,3.3,4.6
284,4.3,4.8
285,3.9,4.4
286,3.1,3.9
287,4.1,4.7
288,3.9,3.7
289,4.0,5.0
290,3.2,4.6
291,3.9,3.7
292,4.5,4.0
294,3.3,3.9
295,4.2,4.6
296,3.4,4.9
297,3.6,3.6
298,3.7,4.0
299,4.5,4.2
300,3.5,4.2
301,3.5,4.7
302,4.7,4.2
303,4.5,4.8
304,4.0,4.4
305,3.6,4.1
307,4.6,3.6
308,4.1,4.4
309,3.7,4.2
310,3.6,4.5
311,3.9,4.1
312,4.9,4.2
313,4.3,4.5
316,4.4,4.9
317,3.8,4.5
318,5.0,4.2
319,3.8,4.7
320,3.0,4.0
321,4.6,4.5
322,4.0,3.9
323,3.3,4.3
324,3.0,3.8
326,5.0,3.7
327,4.3,4.3
328,3.9,3.6
329,3.7,4.1
330,3.1,4.9
331,4.3,4.6
332,3.7,3.7
333,5.0,4.6
334,3.2,3.8
335,3.5,4.7
336,3.8,4.4
338,4.6,4.2
339,4.6,3.9
340,3.5,4.2
341,3.7,4.2
342,3.1,4.6
343,3.8,4.2
344,3.3,4.2
345,4.8,4.8
346,4.6,4.9
347,3.3,4.5
348,4.0,3.8
349,4.9,3.8
350,3.8,4.5
351,3.9,4.3
353,3.7,4.8
354,4.0,4.7
355,4.2,4.9
356,3.2,3.7
357,3.2,4.1
358,4.5,3.7
360,5.0,4.3
361,4.0,3.6
362,4.7,4.5
363,4.7,4.9
364,3.7,5.0
366,3.7,4.8
369,4.5,3.7
370,4.8,4.2
371,4.7,4.4
372,3.6,4.1
373,3.7,3.5
374,4.5,4.1
375,3.6,4.6
376,4.7,3.6
378,4.0,3.6
380,3.6,4.3
381,3.6,4.0
382,4.6,4.3
383,3.2,4.1
385,4.9,3.8
387,3.8,4.5
388,4.7,4.9
389,4.6,4.4
392,4.6,4.5
393,4.3,4.1
394,4.0,4.7
395,3.8,3.6
398,4.2,4.1
399,4.1,4.6
400,3.7,3.6
401,4.0,4.9
403,3.7,4.8
405,4.3,4.6
407,4.7,3.8
408,4.6,3.6
410,3.7,4.2
411,4.0,4.1
414,3.0,3.6
415,4.7,4.4
416,3.5,4.9
417,3.9,4.6
418,3.3,4.8
419,4.4,3.6
420,4.1,3.8
421,3.7,4.6
422,4.1,4.6
423,3.3,3.7
424,4.6,5.0
425,3.5,4.0
426,4.2,4.0
427,4.8,4.4
429,3.1,4.8
430,3.8,4.2
431,3.3,4.5
432,4.8,4.8
433,3.7,3.7
434,3.4,4.6
435,4.4,5.0
436,4.1,4.2
437,4.6,4.9
439,4.5,3.7
440,4.9,4.4
441,3.2,4.6
443,3.2,5.0
444,4.8,4.7
448,4.9,3.7
449,3.8,4.6
450,3.9,3.6
451,3.7,4.3
452,4.6,4.8
453,4.5,3.9
455,3.4,3.9
456,3.8,4.8
457,3.4,3.6
458,3.1,3.9
459,3.1,4.7
460,3.3,3.6
461,3.1,4.4
462,3.8,3.5
463,3.1,4.1
464,4.7,4.7
466,4.4,4.7
467,4.6,4.6
469,4.2,3.8
471,4.3,4.6
473,3.2,4.6
475,3.1,4.8
477,5.0,4.9
478,3.7,4.8
480,3.1,4.5
481,3.3,4.6
482,4.7,4.8
483,3.4,4.2
484,3.9,4.1
485,4.3,3.8
487,4.9,3.9
488,3.0,4.3
491,4.0,3.7
492,5.0,4.7
493,3.2,3.8
494,3.2,4.0
495,3.2,3.7
496,4.0,4.8
497,3.7,4.7
498,4.4,4.0
501,4.1,4.1
502,4.2,4.8
503,4.0,3.7
505,5.0,4.9
506,4.1,3.9
510,3.1,4.5
511,3.6,4.1
512,4.6,4.2
515,4.3,3.6
516,4.4,4.4
517,4.8,4.8
520,3.9,4.2
521,3.0,4.6
522,5.0,4.0
526,3.9,4.4
527,3.2,3.7
528,4.1,4.8
529,4.2,4.9
534,4.1,4.9
535,4.9,4.2
538,3.6,3.7
539,3.1,4.2
540,4.8,4.4
542,3.4,4.4
543,4.5,4.5
544,3.4,3.9
545,4.7,3.6
546,4.8,4.1
547,3.2,4.5
548,3.3,3.9
549,4.9,4.6
550,4.5,4.7
551,3.1,3.9
553,3.4,4.4
554,3.8,3.6
556,4.7,4.2
557,3.3,3.9
558,4.4,4.6
559,3.2,4.3
560,3.9,4.5
561,4.5,4.0
562,3.1,4.5
563,3.4,3.6
564,4.6,3.9
565,3.3,4.0
566,4.3,4.2
567,4.3,4.7
568,4.0,4.0
570,3.4,4.6
571,3.8,4.3
572,4.2,4.5
573,4.8,4.5
574,4.6,3.9
577,4.2,4.1
579,3.5,5.0
580,3.4,3.6
581,4.6,4.0
583,4.3,4.1
584,3.7,4.0
585,4.9,4.1
586,4.8,4.8
587,4.3,5.0
588,3.7,4.8
589,3.6,3.9
590,4.9,4.3
591,3.9,4.4
592,4.6,3.5
593,4.9,3.7
594,4.0,4.5
596,4.3,4.4
597,3.2,4.5
598,4.3,4.8
599,3.4,4.1
600,4.3,3.6
601,3.2,4.4
602,4.0,4.7
603,4.0,3.8
604,4.0,4.1
605,4.5,3.6
606,4.5,4.2
607,4.4,4.0
608,4.3,4.5
609,4.8,4.1
610,4.2,4.6
611,3.7,3.8
612,3.1,4.7
613,4.1,4.1
614,3.5,4.2
617,3.8,3.8
618,3.1,4.6
620,4.3,3.9
621,4.8,4.8
622,3.7,4.1
623,4.6,4.2
624,3.3,4.2
625,4.4,4.4
626,3.2,4.4
627,3.5,4.4
628,3.7,3.8
629,3.3,3.9
630,3.4,4.3
631,4.4,5.0
633,3.2,4.1
634,4.9,4.0
635,4.5,4.1
636,3.7,4.7
637,4.3,4.5
638,4.4,4.9
639,4.2,3.7
640,4.2,4.6
641,4.8,4.1
642,4.8,4.8
643,4.8,3.9
644,4.8,3.7
645,4.4,4.6
647,4.0,3.9
648,4.0,4.2
649,4.5,3.8
650,4.8,4.5
651,3.2,4.3
652,4.8,4.3
653,4.7,4.6
654,3.2,3.6
655,4.3,3.6
656,4.9,3.7
657,4.7,4.2
658,3.1,4.0
659,4.9,3.9
660,3.3,4.8
661,3.1,4.8
663,3.5,3.9
664,4.0,4.7
665,4.6,4.3
666,3.5,4.7
667,3.8,4.0
668,3.3,4.2
669,3.6,3.8
670,4.8,4.9
671,4.4,4.0
673,4.3,4.1
674,3.5,4.5
675,3.3,3.7
677,4.8,3.6
678,4.9,4.2
682,3.1,4.1
683,4.1,4.7
684,3.9,3.6
686,4.5,3.6
687,3.6,4.6
688,4.2,4.5
689,3.2,3.9
690,4.6,3.8
691,3.5,4.3
692,3.6,4.4
693,3.8,4.8
694,3.4,4.0
695,4.6,3.8
696,3.1,3.6
697,4.9,4.0
698,4.9,4.0
699,4.7,5.0
700,4.9,3.9
701,4.5,4.8
702,4.1,4.8
703,4.4,4.4
704,3.0,3.8
705,4.4,3.6
707,3.1,3.6
709,4.8,3.5
710,4.8,4.6
711,3.2,4.1
712,4.4,4.7
713,4.3,4.2
714,4.0,4.7
715,3.1,4.6
719,3.2,3.8
720,4.3,3.8
722,4.1,3.6
723,3.1,4.3
724,4.0,4.1
725,4.7,4.8
727,4.8,3.6
728,4.4,5.0
729,4.3,4.5
730,4.5,4.8
731,3.3,3.8
733,3.4,5.0
734,4.0,3.5
735,3.9,4.0
737,3.4,4.4
739,4.4,4.2
740,4.5,4.7
741,3.5,4.8
742,3.6,3.7
743,3.5,4.6
744,3.6,4.5
745,3.7,4.8
747,3.9,3.9
748,4.0,4.9
750,4.0,3.6
751,4.2,4.9
753,3.7,4.8
754,4.0,3.9
755,4.0,3.5
756,3.2,3.6
757,4.3,4.7
758,3.6,4.1
760,3.1,4.5
761,4.3,4.5
762,3.1,4.5
763,3.9,3.5
764,4.2,3.6
765,5.0,3.9
766,4.0,4.6
767,3.6,4.3
769,4.0,4.3
771,3.4,3.9
773,3.9,4.6
774,4.7,4.0
775,3.3,4.3
776,4.1,4.6
777,4.2,4.4
778,3.6,3.9
779,4.5,4.3
780,4.3,4.0
781,3.9,3.6
782,4.3,3.8
783,4.7,4.6
784,4.2,4.2
785,4.1,3.9
787,4.2,3.6
788,4.4,4.2
789,3.8,4.0
791,4.7,4.1
792,4.8,3.9
793,4.2,5.0
794,4.8,4.7
795,4.5,4.0
798,3.8,4.3
799,4.0,4.3
801,4.1,3.8
802,4.9,4.7
803,4.3,4.8
804,4.0,4.4
805,3.2,4.8
806,4.3,4.4
809,4.1,4.4
810,4.9,4.3
813,3.7,4.1
816,4.6,4.3
817,3.6,4.9
818,3.3,4.8
819,3.0,4.2
820,4.8,3.8
822,3.9,4.1
823,3.6,4.5
824,3.8,3.7
825,4.4,4.0
827,3.8,4.7
828,3.5,4.2
829,3.2,4.2
830,4.2,4.1
831,4.9,4.5
832,4.3,3.9
833,4.9,3.6
834,4.8,4.9
835,3.3,3.7
836,4.8,4.6
838,3.0,4.2
839,4.0,4.6
840,4.0,4.6
841,4.5,4.4
842,4.5,3.6
843,3.5,3.9
845,4.8,4.1
846,3.4,3.5
847,4.9,5.0
849,5.0,3.8
850,4.4,5.0
851,4.3,3.8
852,5.0,4.6
853,3.5,4.2
855,4.3,3.9
856,3.8,4.6
857,3.3,4.3
858,3.3,4.5
859,4.4,4.3
860,3.5,3.6
861,4.2,5.0
862,3.5,4.4
863,3.9,4.7
864,4.5,3.8
865,4.1,4.4
866,4.7,4.5
867,4.1,4.2
868,3.4,4.0
871,4.8,4.5
872,3.8,4.9
873,4.7,4.4
874,3.5,4.4
875,4.3,4.0
876,3.3,3.8
877,3.2,4.8
878,5.0,3.6
879,3.0,4.5
880,4.2,4.4
881,3.0,4.5
882,4.1,4.8
883,3.2,4.7
884,4.6,4.2
885,3.6,4.1
886,3.7,4.1
887,3.5,4.2
888,3.2,4.6
889,4.0,4.7
890,3.9,4.1
891,4.1,4.1
894,4.3,5.0
895,3.2,4.8
896,3.8,3.8
897,4.2,4.2
899,3.6,4.9
900,3.4,3.6
901,4.2,4.9
902,4.4,5.0
903,4.5,3.6
904,3.7,3.9
905,3.2,3.5
908,4.8,4.8
909,4.4,3.7
910,4.9,3.9
911,3.3,4.9
912,4.3,4.1
913,3.4,4.1
914,4.7,4.0
915,4.0,4.9
916,4.1,5.0
917,4.9,4.8
919,3.6,3.9
920,4.2,4.5
922,3.3,4.2
924,3.7,4.8
925,3.4,4.8
926,3.4,4.3
927,4.3,4.8
928,3.6,3.9
929,3.5,4.4
930,4.6,4.9
931,3.9,4.1
934,3.8,4.8
935,4.6,4.4
936,4.0,4.3
937,4.6,4.3
939,3.6,4.8
940,4.9,4.5
941,4.8,4.1
942,4.6,4.0
943,3.4,4.9
945,4.5,4.5
946,4.6,4.7
947,3.7,3.8
950,3.3,4.8
951,3.5,4.7
952,4.2,4.7
953,3.5,3.5
955,4.3,4.5
956,3.8,4.2
957,3.5,3.9
958,4.2,4.9
959,3.1,4.9
960,4.2,4.1
961,4.9,4.7
962,4.4,4.3
963,3.7,4.7
964,4.8,4.4
965,4.1,4.8
966,4.1,3.7
967,3.8,4.6
968,3.1,3.9
969,3.5,4.0
970,4.6,4.1
971,3.5,3.6
973,3.8,4.6
974,4.3,5.0
975,3.6,4.1
976,4.6,3.5
977,4.8,4.1
978,3.1,3.5
979,4.1,4.4
980,3.7,4.6
981,4.1,4.0
982,4.1,3.8
983,3.0,3.6
984,4.3,4.8
985,3.4,4.3
986,4.1,3.6
987,4.8,4.0
988,3.4,4.2
989,3.5,4.1
991,3.1,4.8
992,4.0,4.1
993,4.7,3.9
994,4.1,4.1
995,3.7,4.1
996,4.8,3.6
998,4.1,5.0
1000,4.9,4.2
1001,4.5,3.8
1002,4.8,4.2
1004,4.3,4.3
1006,5.0,4.1
1007,4.1,4.0
1009,4.3,4.6
1010,3.3,4.5
1011,4.9,4.0
1014,3.7,4.3
1015,4.3,3.7
1017,3.7,4.2
1018,4.8,4.2
1020,3.2,3.8
1021,4.8,3.8
1022,4.3,3.7
1026,4.9,4.8
1029,4.0,4.6
1031,4.0,3.8
1032,3.7,4.8
1033,3.7,4.0
1034,3.2,4.0
1035,3.7,3.6
1036,4.2,4.6
1037,3.2,3.8
1038,3.4,4.2
1039,4.7,3.7
1040,3.2,4.7
1041,3.5,4.2
1042,3.0,4.9
1043,4.4,3.8
1044,4.7,3.6
1046,4.8,4.0
1047,4.8,4.3
1048,3.8,4.4
1050,4.1,4.7
1052,4.4,4.3
1054,4.8,3.7
1056,4.6,4.4
1057,4.0,3.8
1058,4.0,4.7
1059,3.7,3.6
1060,3.0,3.7
1063,3.3,4.1
1064,3.7,3.8
1065,4.2,4.3
1066,4.4,4.6
1067,4.8,4.6
1068,4.1,3.7
1069,3.8,4.8
1070,4.4,3.9
1071,3.8,3.7
1072,3.2,4.1
1073,3.0,3.6
1074,4.4,3.7
1076,4.8,4.4
1077,4.4,3.5
1078,3.1,4.2
1079,3.4,4.7
1081,4.9,3.9
1082,4.4,4.8
1083,4.5,4.9
1086,4.6,4.4
1087,4.8,4.8
1088,3.9,4.7
1090,3.9,4.5
1092,3.0,4.0
1093,4.9,4.0
1094,3.3,4.8
1095,3.9,3.8
1096,4.2,4.8
1097,5.0,3.9
1098,3.8,4.7
1099,4.3,4.6
1100,4.9,4.1
1101,4.1,3.6
1106,4.1,4.1
1107,4.1,3.7
1108,4.6,4.1
1109,3.1,3.8
1110,4.5,5.0
1112,3.3,4.7
1113,4.5,4.8
1114,4.6,4.5
1115,4.3,4.0
1116,3.9,4.2
1117,4.5,4.9
1119,3.0,4.5
1120,4.3,5.0
1125,3.5,4.3
1126,4.3,3.5
1127,3.3,4.1
1128,3.4,4.5
1129,3.9,4.9
1130,4.1,4.8
1131,3.8,4.4
1132,4.2,4.7
1133,3.1,4.4
1134,3.4,4.5
1135,3.0,4.3
1136,4.1,3.9
1138,4.4,4.8
1139,4.0,4.3
1140,3.9,3.9
1142,3.9,4.4
1143,3.7,4.7
1144,4.2,4.0
1145,3.0,4.4
1147,4.2,4.5
1148,4.0,4.4
1151,4.3,4.9
1153,4.7,4.4
1154,4.7,4.4
1155,4.6,4.5
1156,3.8,3.8
1157,3.8,4.0
1160,3.4,4.5
1162,3.1,3.9
1163,4.0,4.3
1164,4.9,4.4
1165,4.5,4.5
1168,4.1,4.2
1169,3.6,3.9
1170,3.2,4.9
1171,3.5,4.5
1173,4.1,3.8
1174,4.2,4.1
1175,3.7,4.2
1176,3.2,4.5
1177,3.5,4.6
1178,3.5,5.0
1179,4.1,3.9
1180,3.2,4.5
1182,3.6,3.8
1183,3.7,3.9
1185,4.1,3.6
1187,3.6,4.8
1188,3.3,4.9
1189,3.1,4.6
1190,3.3,4.2
1191,4.6,4.5
1192,3.7,4.9
1193,4.1,4.8
1194,4.0,3.7
1195,3.6,4.6
1199,4.7,3.7
1200,4.9,4.8
1201,3.4,4.6
1202,4.6,4.3
1203,4.5,4.4
1204,4.7,4.5
1205,3.8,3.6
1206,4.4,4.5
1207,3.4,3.6
1208,4.9,4.1
1209,4.4,3.8
1211,3.2,3.7
1212,4.8,3.6
1213,4.9,3.5
1214,3.7,3.8
1215,4.1,4.0
1216,5.0,3.9
1217,3.9,3.9
1218,4.3,4.2
1219,3.9,3.9
1220,3.2,4.4
1222,4.0,3.8
1223,4.7,3.8
1225,3.1,3.9
1226,3.9,4.9
1227,4.6,4.5
1228,3.7,4.0
1230,5.0,4.6
1232,3.8,4.8
1233,4.6,4.9
1234,3.5,3.6
1235,3.7,4.8
1236,4.4,4.8
1238,3.1,4.7
1240,3.2,4.3
1242,3.5,4.8
1243,3.5,4.5
1245,3.1,4.1
1246,4.9,4.1
1247,3.6,4.6
1248,4.4,4.8
1250,3.8,3.8
1251,5.0,4.7
1252,3.3,4.5
1253,3.7,4.5
1254,3.9,3.5
1255,4.4,4.6
1256,4.0,3.7
1257,4.5,4.1
1258,4.7,4.8
1259,3.6,4.2
1260,4.6,4.7
1261,4.0,4.9
1262,3.2,5.0
1263,3.6,4.9
1264,4.6,4.8
1265,3.8,4.2
1266,3.2,4.7
1267,4.3,4.4
1268,4.7,4.3
1269,3.3,3.9
1270,4.1,3.5
1271,3.4,5.0
1273,3.7,4.1
1274,3.8,4.4
1275,3.0,4.3
1276,3.7,4.6
1277,3.6,3.9
1279,4.3,3.8
1280,4.8,4.2
1281,3.2,3.5
1282,4.0,4.5
1283,3.6,4.7
1284,5.0,4.6
1285,4.6,4.9
1286,3.2,4.1
1287,3.7,3.7
1288,3.2,4.9
1289,4.6,4.0
1290,4.0,4.8
1291,4.3,4.3
1292,4.1,4.5
1293,3.4,4.7
1294,3.0,4.2
1296,4.7,4.1
1297,3.2,4.6
1298,4.6,3.8
1299,3.4,4.6
1300,4.7,4.5
1301,4.2,4.4
1303,3.8,4.8
1304,4.3,4.7
1305,3.5,4.0
1307,3.8,4.0
1309,4.6,3.9
1311,3.0,4.3
1313,3.5,3.9
1315,4.5,4.1
1316,4.4,4.0
1317,3.3,3.8
1318,5.0,4.8
1319,4.4,4.1
1320,3.7,4.2
1321,3.7,4.5
1322,4.0,4.5
1324,3.1,3.7
1326,4.4,3.7
1327,3.1,4.9
1328,4.3,4.3
1329,4.6,4.2
1330,4.8,4.6
1331,3.3,4.4
1332,4.5,4.0
1333,5.0,4.3
1336,3.1,3.8
1337,3.1,4.5
1338,3.4,4.2
1339,3.4,4.5
1340,3.6,4.5
1341,4.8,4.2
1342,4.4,4.7
1344,3.0,4.6
1345,4.0,4.1
1346,4.8,4.4
1347,4.1,4.6
1348,3.4,4.8
1350,4.9,4.2
1352,3.6,4.7
1353,3.7,3.8
1354,3.7,3.5
1355,3.8,3.6
1358,4.4,4.8
1359,3.6,3.8
1360,3.9,4.1
1362,3.5,4.3
1363,4.0,3.5
1364,4.9,4.9
1365,3.6,3.9
1366,4.6,4.6
1367,3.4,4.5
1369,3.3,4.8
1370,3.2,5.0
1372,5.0,4.1
1374,4.1,4.7
1375,4.0,4.2
1377,3.0,4.7
1378,4.0,3.6
1379,4.3,3.7
1380,3.8,3.9
1381,3.3,4.1
1382,3.5,4.3
1384,4.4,5.0
1385,4.0,4.0
1386,4.0,3.9
1387,3.1,4.1
1388,4.1,4.6
1390,3.8,3.8
1391,4.8,4.8
1392,3.8,4.9
1393,4.2,4.1
1394,4.9,4.1
1395,4.1,4.4
1397,3.1,3.7
1398,3.2,4.4
1399,4.9,3.7
1400,4.1,4.5
1401,3.4,4.8
1402,4.1,3.5
1403,4.9,4.0
1404,3.1,4.5
1405,4.1,4.1
1406,3.3,4.2
1409,3.9,4.4
1411,4.3,4.3
1412,3.9,4.0
1413,4.9,4.1
1414,4.2,4.3
1415,4.9,4.8
1417,3.6,5.0
1418,3.0,3.8
1419,3.3,4.4
1421,3.1,4.0
1422,4.5,4.5
1423,3.4,4.7
1424,4.5,4.8
1427,4.1,4.2
1429,3.4,4.2
1431,4.2,3.8
1432,3.0,3.9
1433,3.7,3.6
1434,4.6,4.9
1435,4.5,4.1
1436,4.6,3.9
1437,4.2,4.9
1438,4.1,4.4
1439,3.8,4.4
1440,4.9,4.5
1442,4.9,4.3
1443,3.0,4.8
1444,4.9,4.1
1446,4.7,4.3
1447,4.2,4.4
1450,3.6,4.4
1451,3.8,3.7
1452,4.7,4.5
1454,3.3,4.4
1455,4.2,4.4
1457,3.5,4.3
1458,3.8,4.4
1459,3.0,3.7
1460,4.9,4.2
1461,3.2,4.3
1462,4.5,4.9
1463,4.1,3.9
1464,4.7,4.8
1466,4.0,5.0
1468,5.0,4.1
1470,4.2,4.8
1471,4.2,4.5
1472,4.8,4.8
1474,3.5,4.7
1475,3.7,4.2
1476,4.3,4.7
1478,3.3,4.5
1479,4.6,4.7
1480,4.2,4.4
1482,4.5,4.5
1483,5.0,3.5
1484,5.0,4.0
1485,3.9,4.6
1486,3.6,4.5
1487,4.3,4.6
1488,4.4,3.8
1489,3.6,4.1
1490,3.6,4.4
1491,3.4,4.6
1492,4.8,4.3
1493,3.2,3.6
1494,3.5,3.7
1495,4.2,4.6
1496,3.9,4.0
1497,3.2,3.6
1498,3.6,4.4
1499,3.8,4.5
1501,4.9,4.8
1502,3.8,4.2
1503,3.2,4.8
1504,4.9,4.1
1505,3.9,4.2
1506,3.3,4.8
1507,4.2,4.3
1508,4.6,4.0
1509,4.4,3.9
1510,3.6,4.7
1512,3.5,4.6
1514,4.8,4.8
1515,3.4,4.9
1516,4.5,4.2
1517,3.0,4.9
1519,3.8,3.8
1521,5.0,3.9
1523,4.3,3.9
1524,3.6,3.9
1525,4.4,4.2
1526,3.7,3.6
1527,4.9,4.7
1528,3.5,3.8
1530,3.6,4.9
1531,4.4,3.5
1532,4.6,4.4
1533,4.2,3.8
1534,3.6,4.8
1535,4.1,3.8
1536,3.4,4.9
1537,3.1,4.5
1538,4.8,4.0
1539,4.0,3.6
1540,4.0,4.0
1541,4.5,4.8
1542,4.1,3.6
1543,3.9,4.7
1544,4.6,4.3
1546,4.0,3.8
1548,4.8,5.0
1549,3.6,3.6
1550,3.1,3.6
1552,3.3,3.9
1555,4.6,4.7
1556,4.9,4.7
1557,3.2,4.5
1558,4.8,4.6
1561,4.9,4.0
1562,4.5,4.8
1563,4.5,4.0
1564,3.0,3.8
1566,3.4,3.8
1567,3.4,3.6
1568,4.2,5.0
1569,4.3,3.5
1570,4.8,4.2
1571,4.0,3.8
1572,4.0,4.4
1573,3.1,4.1
1575,5.0,3.5
1576,4.9,4.2
1577,3.1,4.7
1578,4.1,4.7
1579,3.7,3.7
1580,3.9,3.6
1581,4.3,4.2
1582,3.8,4.5
1583,4.0,4.5
1584,3.5,3.9
1586,3.2,3.9
1587,4.5,5.0
1588,3.8,3.8
1589,4.8,4.2
1590,4.9,4.4
1591,3.2,4.5
1593,4.4,4.9
1594,4.6,4.8
1595,4.3,3.8
1596,3.7,3.7
1597,3.6,4.1
1598,3.9,4.7
1599,3.5,4.7
1601,4.8,4.0
1602,3.1,3.9
1603,3.2,3.6
1604,4.2,4.6
1605,4.3,4.4
1606,4.5,4.7
1607,3.6,4.9
1609,3.6,4.2
1610,3.8,4.1
1612,3.5,4.6
1613,3.8,3.9
1614,4.4,4.4
1615,4.0,3.8
1616,4.9,4.3
1618,4.2,4.0
1619,3.7,4.3
1620,3.4,4.9
1621,3.4,4.3
1622,3.0,3.9
1623,3.9,4.6
1625,4.9,4.9
1626,4.6,3.9
1627,3.6,4.4
1628,4.6,4.6
1629,4.9,4.5
1630,4.3,3.7
1631,4.0,5.0
1632,3.3,3.6
1633,3.2,4.7
1634,3.4,3.5
1636,4.3,3.9
1637,3.3,4.2
1638,4.1,4.2
1641,3.9,3.8
1643,4.3,4.2
1644,3.1,4.8
1645,5.0,4.9
1646,4.4,4.7
1647,4.4,4.7
1649,3.0,4.0
1650,3.2,4.3
1651,4.4,4.2
1652,3.2,3.6
1653,4.8,4.1
1654,4.2,3.9
1655,3.1,3.8
1657,4.2,4.8
1658,4.6,4.0
1659,4.6,4.3
1660,3.8,3.6
1661,3.9,4.7
1662,4.5,3.6
1664,4.7,4.0
1667,4.6,4.0
1669,4.2,3.7
1671,4.4,3.7
1675,4.3,4.0
1676,4.2,5.0
1677,4.8,4.4
1678,4.3,4.3
1679,3.8,3.9
1680,4.9,4.5
1681,4.9,5.0
1683,4.6,3.9
1685,3.1,3.8
1688,4.5,4.9
1689,3.1,4.8
1690,3.1,4.1
1691,3.7,4.3
